,postcode, total_installations_quantity
901,3282,136.0
902,3283,70.0
903,3284,182.0
904,3285,58.0
905,3286,20.0
906,3287,17.0
907,3289,21.0
908,3292,9.0
909,3293,4.0
910,3294,34.0
911,3300,252.0
912,3301,54.0
913,3302,11.0
914,3303,3.0
915,3304,77.0
916,3305,530.0
917,3309,3.0
918,3310,11.0
919,3311,55.0
920,3312,27.0
921,3314,28.0
922,3315,49.0
923,3317,
924,3318,18.0
925,3319,7.0
926,3321,204.0
927,3322,4.0
928,3323,4.0
929,3324,9.0
930,3325,13.0
931,3328,269.0
932,3329,25.0
933,3330,8.0
934,3331,1128.0
935,3332,134.0
936,3333,49.0
937,3334,30.0
938,3335,2166.0
939,3337,3473.0
940,3338,3092.0
941,3340,1970.0
942,3341,139.0
943,3342,270.0
944,3345,54.0
945,3350,2602.0
946,3351,432.0
947,3352,1077.0
948,3355,334.0
949,3356,1135.0
950,3357,196.0
951,3360,41.0
952,3361,17.0
953,3363,166.0
954,3364,163.0
955,3370,90.0
956,3371,42.0
957,3373,91.0
958,3374,14.0
959,3375,5.0
960,3377,256.0
961,3378,3.0
962,3379,18.0
963,3380,152.0
964,3381,88.0
965,3384,14.0
966,3385,21.0
967,3387,6.0
968,3388,20.0
969,3390,35.0
970,3391,8.0
971,3392,24.0
972,3393,84.0
973,3395,24.0
974,3396,34.0
975,3400,813.0
976,3401,232.0
977,3407,16.0
978,3409,50.0
979,3412,10.0
980,3413,2.0
981,3414,99.0
982,3415,3.0
983,3418,129.0
984,3419,48.0
985,3420,10.0
986,3423,15.0
987,3424,36.0
988,3427,611.0
989,3428,12.0
990,3429,1926.0
991,3430,9.0
992,3431,286.0
993,3432,12.0
994,3433,4.0
995,3434,400.0
996,3435,232.0
997,3437,902.0
998,3438,116.0
999,3440,56.0
1000,3441,30.0
1001,3442,485.0
1002,3444,567.0
1003,3446,66.0
1004,3447,32.0
1005,3448,61.0
1006,3450,355.0
1007,3451,314.0
1008,3453,141.0
1009,3458,152.0
1010,3460,95.0
1011,3461,220.0
1012,3462,71.0
1013,3463,201.0
1014,3464,46.0
1015,3465,238.0
1016,3467,62.0
1017,3468,7.0
1018,3469,7.0
1019,3472,54.0
1020,3475,19.0
1021,3477,24.0
1022,3478,131.0
1023,3480,67.0
1024,3482,7.0
1025,3483,44.0
1026,3485,14.0
1027,3488,1.0
1028,3490,42.0
1029,3491,1.0
1030,3494,23.0
1031,3496,410.0
1032,3498,292.0
1033,3500,2299.0
1034,3501,145.0
1035,3505,263.0
1036,3506,1.0
1037,3507,6.0
1038,3509,4.0
1039,3512,16.0
1040,3515,249.0
1041,3516,59.0
1042,3517,168.0
1043,3518,98.0
1044,3520,3.0
1045,3521,31.0
1046,3522,25.0
1047,3523,486.0
1048,3525,89.0
1049,3527,14.0
1050,3529,3.0
1051,3530,4.0
1052,3531,5.0
1053,3533,20.0
1054,3537,40.0
1055,3540,14.0
1056,3542,3.0
1057,3544,7.0
1058,3546,13.0
1059,3549,107.0
1060,3550,1623.0
1061,3551,3198.0
1062,3555,1068.0
1063,3556,855.0
1064,3557,79.0
1065,3558,57.0
1066,3559,19.0
1067,3561,192.0
1068,3562,19.0
1069,3563,29.0
1070,3564,877.0
1071,3565,5.0
1072,3566,15.0
1073,3567,16.0
1074,3568,110.0
1075,3570,52.0
1076,3571,19.0
1077,3572,6.0
1078,3573,15.0
1079,3575,22.0
1080,3576,4.0
1081,3579,254.0
1082,3580,51.0
1083,3581,9.0
1084,3583,6.0
1085,3584,52.0
1086,3585,488.0
1087,3586,34.0
1088,3588,5.0
1089,3589,15.0
1090,3590,10.0
1091,3591,8.0
1092,3594,10.0
1093,3595,23.0
1094,3596,1.0
1095,3597,10.0
1096,3599,1.0
1097,3607,3.0
1098,3608,195.0
1099,3610,98.0
1100,3612,107.0
1101,3614,48.0
1102,3616,307.0
1103,3617,6.0
1104,3618,20.0
1105,3620,215.0
1106,3621,82.0
1107,3622,22.0
1108,3623,46.0
1109,3624,13.0
1110,3629,346.0
1111,3630,1581.0
1112,3631,995.0
1113,3633,38.0
1114,3634,97.0
1115,3635,23.0
1116,3636,259.0
1117,3637,22.0
1118,3638,104.0
1119,3639,22.0
1120,3640,53.0
1121,3641,58.0
1122,3644,383.0
1123,3646,31.0
1124,3649,20.0
1125,3658,346.0
1126,3659,39.0
1127,3660,184.0
1128,3663,11.0
1129,3664,54.0
1130,3665,19.0
1131,3666,256.0
1132,3669,79.0
1133,3670,31.0
1134,3672,285.0
1135,3673,81.0
1136,3675,137.0
1137,3677,594.0
1138,3678,362.0
1139,3682,28.0
1140,3683,89.0
1141,3685,124.0
1142,3687,52.0
1143,3688,79.0
1144,3690,1296.0
1145,3691,990.0
1146,3694,21.0
1147,3695,18.0
1148,3697,49.0
1149,3698,89.0
1150,3699,45.0
1151,3700,66.0
1152,3701,35.0
1153,3705,10.0
1154,3707,97.0
1155,3708,1.0
1156,3709,18.0
1157,3711,33.0
1158,3712,13.0
1159,3713,59.0
1160,3714,223.0
1161,3715,23.0
1162,3717,171.0
1163,3718,2.0
1164,3719,24.0
1165,3720,35.0
1166,3722,401.0
1167,3723,139.0
1168,3725,19.0
1169,3726,14.0
1170,3727,10.0
1171,3728,27.0
1172,3730,552.0
1173,3732,28.0
1174,3733,9.0
1175,3735,30.0
1176,3737,222.0
1177,3738,6.0
1178,3739,15.0
1179,3740,81.0
1180,3741,220.0
1181,3744,19.0
1182,3746,22.0
1183,3747,290.0
1184,3749,192.0
1185,3750,2052.0
1186,3751,3.0
1187,3752,1965.0
1188,3753,614.0
1189,3754,10351.0
1190,3755,7.0
1191,3756,1534.0
1192,3757,503.0
1193,3758,95.0
1194,3759,50.0
1195,3760,20.0
1196,3761,39.0
1197,3762,5.0
1198,3763,134.0
1199,3764,714.0
1200,3765,84.0
1201,3766,16.0
1202,3767,9.0
1203,3770,59.0
1204,3775,222.0
1205,3777,274.0
1206,3778,10.0
1207,3779,69.0
