dec_installations_quantity, oct_installations_quantity, jun_installations_quantity, postcode, total_installations_quantity, jul_installations_quantity, nov_installations_quantity, apr_installations_quantity, sep_installations_quantity, aug_installations_quantity, jan_installations_quantity, may_installations_quantity, feb_installations_quantity, mar_installations_quantity
0,0,0,"3979",1,1,0,0,0,0,0,0,0,0
0,0,0,"3980",0,0,0,0,0,0,0,0,0,0
1,2,0,"3981",7,0,0,0,1,2,0,0,1,0
1,0,2,"3984",8,0,0,1,1,0,0,1,0,2
1,0,1,"3936",5,0,1,0,0,0,0,1,0,1
1,0,0,"3937",3,0,0,0,1,1,0,0,0,0
0,0,0,"3938",1,0,0,0,1,0,0,0,0,0
1,0,0,"3939",1,0,0,0,0,0,0,0,0,0
0,0,0,"3975",0,0,0,0,0,0,0,0,0,0
0,0,0,"3990",0,0,0,0,0,0,0,0,0,0
0,0,0,"3991",2,0,0,0,0,1,0,0,1,0
0,0,0,"3992",1,0,1,0,0,0,0,0,0,0
4,0,0,"3995",12,0,2,2,0,2,1,1,0,0
